gene	IgK.C13	IgK.C15	IgK.C16	IgK.C20	IgK.C25	IgK.C26	IgK.C27	IgK.C28	IgK.C29	IgK.C32	IgK.C35	IgK.C37	IgK.C40	IgK.C41	IgK.C42	IgK.C43	IgK.C44	IgK.C46	IgK.C47	IgK.C48	IgK.C49	IgK.C50	IgK.C51	average	median
IGKV3/OR2-268	0.0008298284002218701	0.000979153358729152	0.0006590194565803092	0.0010538213772765515	0.0012559979717958678	0.001470419363602499	0.001337102290414439	0.0009129054960230517	0.002163941223728199	0.0016960970921357631	0.0009412450949199279	0.0002889672311159914	0.0007274142303448916	0.0015164515034818524	0.001006238679814852	0.0011224081233467454	0.00022792957887731003	0.0003523359875977733	0.00037018299379326506	0.0007991419738806754	0.001302367914444907	0.0013054415744331031	0.0008161206077872742	0.0010058491967107075	0.00097915335872915204
IGKV2-40	0.0010482042950170991	0.0008392743074821303	0.0005814877558061552	0.0009348415443582312	0.0007675543160974747	0.0011483275030038564	0.0006685511452072194	0.0009295037777689254	0.0006738020576878224	0.0010679129839373323	0.0005567928730512249	0.0008002169477058225	0.0017245686920030865	0.0009748616808097623	0.0017062308049034447	0.0005907411175509186	0.0008205464839583161	0.0007046719751955466	0.0006169716563221084	0.00037854093499610936	0.0009880032454409639	0.0010584661414322458	0.0008903133903133902	0.00089001676652387756	0.00083927430748213035
IGKV2D-40	0.0010482042950170991	0.0008392743074821303	0.0005814877558061552	0.0009348415443582312	0.0007675543160974747	0.0011483275030038564	0.0006685511452072194	0.0009295037777689254	0.0006738020576878224	0.0010679129839373323	0.0005567928730512249	0.0008002169477058225	0.0017245686920030865	0.0009406560077988934	0.0017062308049034447	0.0005907411175509186	0.0008205464839583161	0.0007046719751955466	0.0006169716563221084	0.00037854093499610936	0.0009880032454409639	0.0010584661414322458	0.0008903133903133902	0.00088852956334949194	0.00083927430748213035
IGKV2D-30	0.0008298284002218701	0.000512889854572413	0.0012017413619993874	0.000679884759533259	0.0004419252122985461	0.0010923115272475706	0.0009401500479476523	0.0008631106507854306	0.0007308160779537152	0.0014448234488563907	0.001299183370452858	0.0005557062136845989	0.001149712461335391	0.0012257032828894671	0.00043749507818037037	0.0014440338429022453	0.000638202820856468	0.00023489065839851553	0.0013162062001538311	0.0005131332674391705	0.0003592739074330778	0.00021169322828644917	0.0005935422602089267	0.00081375034494076532	0.00073081607795371522
IGKV3D-7	0.0008298284002218701	0.0006993952562351087	0.0006590194565803092	0.0010198271392998885	0.0008373319811972452	0.000630179727258214	0.0007103355917826706	0.0007137261150725677	0.0020084484411848555	0.0005653656973785877	0.0007026195778979744	0.0002889672311159914	0.0004355641440059078	0.0014822458304709837	0.0007437416329066298	0.0008861116763263779	0.00022792957887731003	0.0003523359875977733	0.00037018299379326506	0.0007991419738806754	0.001302367914444907	0.0013054415744331031	0.0006380579297245963	0.00079165938485594822	0.00071033559178267059
IGKV1D-43	0.0002620510737542748	0	0.0006977853069673861	0.0005099135696499443	0.0003767993915387603	0.00033609585453771404	0.00040739835411064934	0.000597538142851452	0.0005442247389017028	0.0020730075570548215	0.0007954183900731785	0.0009447005632638182	0.0001326591301540836	0.000684113460217377	0.001181236711087	0.00039382741170061237	0.0008205464839583161	0.0007046719751955466	0.0007403659875865301	0.0002523606233307396	0.00044909238429134723	0.0014818525980051442	0.0016915954415954414	0.00069901109347068858	0.00059753814285145202
IGKV5-2	0	0.0002797581024940435	0.0009303804092898482	0.0008498559494165738	0.0008373319811972452	0.0006721917090754281	0.00037606001917906096	0.00019917938095048398	0.0015549278254334364	0.0013191866272167045	0.0007954183900731785	0.0003334237282107594	0.0009286139110785851	0.0017102836505434426	0.001049988187632889	0.00039382741170061237	0.00027351549465277203	0	0.0002467886625288434	0.0005047212466614792	0.0008981847685826945	0.00021169322828644917	0.0008903133903133902	0.00066328887280512683	0.00067219170907542808
IGKV3-7	0.00017470071583618318	5.59516204988087e-05	0.0011242096612252334	0.0008838501873932367	9.303688679969391e-05	0.0012715626496676848	0.00043873668904223777	0.0005145467341220836	0.0007308160779537153	0.00018845523245952924	0.000782161416905292	0.00040010847385291127	0.0006610846652678499	0.0004332718581376721	0.0006124931094525186	0.0003675722509205715	0.0009573042312847022	0.0007046719751955466	0.0008637603188509517	0.00029442072721919615	0.00082333603786747	0.0005292330707161229	0.0010832146248812916	0.00060819561806741318	0.00061249310945251864
IGKV2/OR22-4	0.0005241021475085496	0.00046626350415673905	0.00015506340154830802	0.0006232276962388209	0.0006047397641980104	0.0003921118302939997	0.0002507066794527073	0.00019917938095048398	0.00036281649260113514	0.000753820929838117	0.00037119524870081667	0.00040010847385291127	4.421971005136119e-05	0.0001140189100362295	0.0006124931094525185	0.00026255160780040823	0.0008205464839583161	0	0	0.0002523606233307396	0.0003592739074330778	0.00042338645657289835	0.0005341880341880341	0.00037071193009409481	0.00037119524870081667
IGKV1D-17	8.735035791809159e-05	6.993952562351087e-05	0.00038765850387077007	0.0001133141265888765	0.00012094795283960208	0.0001540439333297856	4.178444657545121e-05	0.00019917938095048398	0.00010366185502889576	0.0007224117244281956	0.0003446813023650439	0.00022228248547383957	8.843942010272238e-05	0.0003135520025996311	0.00017499803127214817	0.0001148663284126786	0.00041939042513425046	0.00046978131679703105	0.00014396005314182527	0.00023133057138651126	0.0002005945983168017	5.292330707161229e-05	0.00016322412155745484	0.0002147963378602267	0.00016322412155745484
IGKV2D-26	0.0005241021475085496	0	0.0004651902046449241	0.0001133141265888765	0	5.601597575628567e-05	4.178444657545121e-05	0	0.0001606758752947884	0.0008166393406579599	0	0.0005779344622319828	0.00019898869523112537	5.700945501811475e-05	0.00026249704690822225	0	0	0	8.226288750961444e-05	8.412020777691319e-05	0.0001796369537165389	0.00010584661414322459	0.0003561253561253561	0.0001774845128559969	8.4120207776913189e-05
IGKV2-18	0	0	0.00023259510232246205	0	6.977766509977043e-05	0.00016804792726885702	0.00012535333972635366	0.00019917938095048398	0.00023842226656646025	6.281841081984308e-05	0	0	0.0002653182603081672	0.0002052340380652131	0.00026249704690822225	0	0.00027351549465277203	0	0	5.047212466614792e-05	0	0.00021169322828644917	0	0.00010282279502787836	6.2818410819843077e-05
